,Unnamed: 0,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
1563,1563,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1188.42,18.85,-4.73,24.74,18.85,0.0,0.0,0.12,1.0,1.0,0.0,100.0,18.85,18.85,0.0,1000,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
735,735,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1180.78,18.08,-4.73,23.94,12.15,-2.22,7.41,3.5,40.0,18.0,22.0,45.0,0.44,1.76,-0.64,1000,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
671,671,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1178.0,17.8,-4.73,23.65,7.45,-2.22,5.98,8.97,102.0,49.0,53.0,48.04,0.17,0.77,-0.39,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
809,809,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1152.87,15.29,-4.73,21.01,15.34,-4.1,19.5,30.25,384.0,151.0,233.0,39.32,0.05,1.07,-0.61,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
160,160,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1152.83,15.29,-4.73,21.01,18.98,-1.95,3.11,0.35,4.0,1.0,3.0,25.0,3.97,18.98,-1.04,1000,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
683,683,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1140.14,14.02,-4.73,19.68,12.76,-2.24,8.36,8.52,100.0,47.0,53.0,47.0,0.15,0.97,-0.58,1000,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
221,221,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1129.86,12.99,-4.73,18.6,13.62,-3.51,12.23,10.61,125.0,61.0,64.0,48.8,0.11,0.89,-0.62,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1030,1030,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1113.39,11.34,-4.73,16.87,8.85,-3.79,27.52,27.58,364.0,147.0,217.0,40.38,0.04,1.1,-0.68,1000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1746,1746,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1113.22,11.33,-4.73,16.85,12.23,-2.22,6.7,4.28,50.0,24.0,26.0,48.0,0.24,1.04,-0.5,1000,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
987,987,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1094.3,9.43,-4.73,14.87,39.35,-2.43,21.26,10.61,127.0,32.0,95.0,25.2,0.14,3.15,-0.88,1000,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
674,674,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1092.75,9.28,-4.73,14.7,7.44,-2.22,9.17,8.22,99.0,39.0,60.0,39.39,0.1,0.95,-0.45,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
157,157,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1090.1,9.01,-4.73,14.42,18.98,-5.91,8.38,0.4,5.0,2.0,3.0,40.0,2.09,9.52,-2.86,1000,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
821,821,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1087.15,8.72,-4.73,14.11,38.89,-2.29,22.96,11.27,134.0,35.0,99.0,26.12,0.12,2.86,-0.85,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
672,672,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1078.0,7.8,-4.73,13.15,7.67,-2.21,2.92,1.4,17.0,7.0,10.0,41.18,0.47,2.18,-0.73,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
858,858,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1072.99,7.3,-4.73,12.63,3.07,-1.31,4.26,3.42,42.0,15.0,27.0,35.71,0.18,1.32,-0.46,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
224,224,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1072.09,7.21,-4.73,12.53,13.08,-3.51,15.23,9.65,121.0,53.0,68.0,43.8,0.08,1.11,-0.73,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
820,820,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1072.07,7.21,-4.73,12.53,17.74,-3.77,23.0,39.08,515.0,174.0,341.0,33.79,0.03,1.03,-0.49,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
370,370,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1071.24,7.13,-4.73,12.44,12.31,-3.44,13.86,4.68,56.0,22.0,34.0,39.29,0.15,1.63,-0.81,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
193,193,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1070.89,7.09,-4.73,12.41,7.35,-3.44,11.6,9.97,123.0,51.0,72.0,41.46,0.07,0.99,-0.59,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
365,365,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1069.55,6.96,-4.73,12.27,12.31,-3.44,13.86,4.67,56.0,22.0,34.0,39.29,0.14,1.63,-0.81,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
368,368,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1069.55,6.96,-4.73,12.27,12.31,-3.44,13.86,4.67,56.0,22.0,34.0,39.29,0.14,1.63,-0.81,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
226,226,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],1066.14,6.62,-4.73,11.91,13.26,-3.51,14.96,9.34,117.0,48.0,69.0,41.03,0.07,1.22,-0.73,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
